Date,VTI,SPY,EFA,EEM,TLT,IEF,LQD
2004-06-24,37.2502,76.6847,25.458,11.3726,41.0046,46.305,44.9206
2004-06-25,37.2097,76.316,25.3648,11.4878,41.044,46.3274,44.9541
2004-06-28,37.0133,76.0545,25.5208,11.3899,40.6244,45.986,44.6404
2004-06-29,37.1725,76.3696,25.467,11.477,40.8811,46.2043,44.9541
2004-06-30,37.3215,76.7785,25.6283,11.6412,41.3008,46.4897,45.0377
2004-07-01,36.9592,75.7126,25.3057,11.4958,41.3781,46.5813,45.2627
2004-07-02,36.8644,75.6724,25.4473,11.495,41.8144,46.98,45.5776
2004-07-06,36.5664,75.0087,25.0279,11.3719,41.745,46.8902,45.4727
2004-07-07,36.5901,75.23,25.3236,11.5202,41.7598,46.9126,45.5105
2004-07-08,36.265,74.7071,25.1623,11.356,41.7846,46.9183,45.5357
2004-07-09,36.3768,74.9015,25.3756,11.4165,41.8292,46.9969,45.5525
2004-07-12,36.3666,74.935,25.4491,11.387,41.8887,47.053,45.6448
2004-07-13,36.4309,74.9886,25.3236,11.4389,41.7648,46.9519,45.5567
2004-07-14,36.265,74.7607,25.1802,11.3294,41.7797,46.9295,45.5776
2004-07-15,36.177,74.278,24.8666,11.2703,41.8243,46.9071,45.4853
2004-07-16,36.0111,74.2177,25.0673,11.3942,42.3795,47.3619,45.9261
2004-07-19,36.0111,73.9026,25.0871,11.3769,42.4092,47.3507,45.9555
2004-07-20,36.265,74.8412,25.0996,11.4252,42.0275,47.0418,45.6406
2004-07-21,35.6555,73.4602,24.5548,11.2934,41.9135,46.9407,45.6322
2004-07-22,35.7774,73.6612,24.6874,11.2934,41.973,46.9969,45.5273
2004-07-23,35.3846,73.0445,24.2322,11.0989,42.1118,47.1092,45.7246
2004-07-26,35.2797,72.9037,24.2322,10.9959,41.9135,46.9463,45.6994
2004-07-27,35.6284,73.5875,24.3827,11.2055,41.3484,46.615,45.3803
2004-07-28,35.6555,73.8088,24.415,11.2019,41.3533,46.688,45.2459
2004-07-29,35.8824,74.1238,24.4455,11.2718,41.4475,46.7329,45.4181
2004-07-30,35.9941,74.3048,24.5351,11.2177,41.9333,47.053,45.7414
2004-08-02,36.0856,74.459,24.6516,11.1616,41.9881,47.0998,45.8354
2004-08-03,35.8079,73.8825,24.4902,11.1745,42.1573,47.2125,45.7848
2004-08-04,35.7131,73.8758,24.4867,11.1853,42.1772,47.1843,45.9071
2004-08-05,35.1138,72.6691,24.1229,11.1133,42.2966,47.3252,45.9914
2004-08-06,34.6228,71.63,24.087,11.0326,43.0083,47.9732,46.4045
2004-08-09,34.6329,71.7306,24.0601,11.1248,42.859,47.8154,46.4129
